CommitHash,CommitFileModifications,PATH FILE
115ba24c77b70d0ce0f5925e505ff206513c07a2,Wed Aug 12 19:59:26 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\android\congress\LegislatorList.java
3741316f237cd472fc06b5dc5fd684b6f05d2932,Wed Aug 12 22:56:06 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\android\congress\LegislatorList.java
b639b96a9241dd01e6f2f5a6125822773c63b32e,Wed Aug 12 22:56:26 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
f7d47b770f01dc5e4a1f4e69ab0c4dfc68803e15,Wed Aug 12 23:10:34 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
efb2aa3cf6cc4c86c8b78148e974895800050e67,Wed Sep 09 21:51:22 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
704c7a1d2587d53029bd0892ef2b9f36ea11d512,Fri Sep 11 20:45:19 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
8af1cdee8429b2f1d2c496bc640377c7102332ee,Fri Sep 11 23:38:48 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
d764e8de7509891ceb4ee5b0633eacfaeb862c4d,Sat Sep 12 00:11:41 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
4b0f60c6c1a0d24d850afdf691b00af59f59d6b8,Tue Sep 15 00:00:34 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
ad6040b6d4e60bc46fc827bc6b167f4b04376222,Tue Sep 15 00:00:54 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
37d7a382434229f82e27a1d69adc62c06ca70278,Tue Sep 15 00:01:17 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
880e282b922ef74f2871d0e535b4b9055431e6d3,Tue Sep 15 00:01:52 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
80c011cd49b13e58e8150026ea83bb7ed9ec1517,Tue Sep 15 00:02:02 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
51481cbdbbe1d77c6e09ce66abe23f875dc842b1,Wed Sep 16 22:02:08 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
0fcf8f2da7fd73a1a02e6c1d77afe219afa1fe82,Thu Sep 17 00:07:13 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
82664ac736e543df3766128413d5d43384c4e846,Thu Sep 17 23:46:36 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
5e217612274aec51efdfbbb20d0380af2e719aa9,Fri Sep 18 16:30:20 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
645f9f4befe77444e7b1ce5efe3a0cbc11538c7d,Fri Sep 18 19:16:56 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
0ea81b6d5c9911c91a13b5845b2c95073a40e73e,Fri Sep 18 20:56:16 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
93c752bd1f3fc4edac3be6db85521a9700dc520c,Sun Sep 20 19:46:55 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
eb60c805c51c8a018c20eb1aedece320990482fd,Tue Sep 22 03:10:05 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
139ada1eee71874eccb967c38328e51a15d8fbbb,Tue Sep 22 03:41:20 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
9a22ac78abfdd1e9698165462cc17bdf14f81381,Tue Sep 22 03:42:00 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
6adfa582e52e18d5b8fb67956ff1d9cb1db19548,Tue Sep 22 03:45:53 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
2e46dbd5e003119e41ea1017172fb0fb24c071e6,Tue Sep 22 04:16:07 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
75fb51311b738244d85c950a7f7c8eb1bc561b76,Tue Sep 22 05:20:07 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
b01f1f826508d2e44bb0d6ffd4140fbd5dcaf6ac,Tue Sep 22 05:27:09 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
d22799fd2f185b25e5e37b6b923634b4f84c5bd0,Tue Sep 22 22:26:35 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
a8f52a4ed2bb56d0cac23a457a92380aa0eac6ab,Tue Sep 22 22:27:23 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
237d03494063c642005aac3c14d9265e1b1e25d1,Wed Sep 23 00:14:27 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
da1a320a803b58cdb752bfb0da53532f309efd1a,Wed Sep 23 00:15:22 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
5f1f753f9b00e8cfacd61ee270476b6e0d1bb97d,Wed Sep 23 00:15:51 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
d4a391ff0ac1e0eab347304b110e696a55843707,Wed Sep 23 21:59:30 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
fda1f8ee300ba12277621db675002bf56d4e7cbb,Wed Sep 23 22:07:36 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
b005d224ff2f87385fa55969b435f63b86821fb8,Wed Sep 23 22:07:48 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
160c4107854fc6daa26d7101a104b7583781e511,Wed Sep 23 22:10:03 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
c97afd2b018ade2c433296b6901e4cfe5d51a99e,Wed Sep 23 22:14:49 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
409aed3f21d17b20bc3802f9d38b908634e25f2c,Wed Sep 23 22:17:22 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
88d4b1c434e1008327fbfd0c112420b4691b24ad,Wed Sep 23 22:17:29 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
901e6b1862d7eca75e97eee8357ecda3ef76f2c4,Wed Sep 23 22:37:14 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
01bdbf388045fc744fac8c9c058c0a3c7e547f1b,Wed Sep 23 23:39:38 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\twitter4j\Version.java
9012001a4eb7085e90cbd91016560b89925004ef,Wed Sep 23 23:40:00 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
b8dda062c1d591465d22542809853ebc88c3ff15,Wed Sep 23 23:40:18 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
d2b07f06de5924e5ef2b2b3b6c019bb3a59df5d4,Thu Sep 24 23:11:39 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
5094287705df5cf65b036a52e98bc6fb296114f9,Fri Sep 25 00:40:00 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
f3224b792054b826b196bbcebd15ec119e262fd5,Fri Sep 25 00:47:24 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
c022066020993655df630d7971c095ebfe3d1051,Fri Sep 25 00:57:14 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
86a7e08ec94aeb3cc880734bd3df8862f1e7cfeb,Fri Sep 25 01:16:29 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
265ab0e0c4c29370ca58eb78b674349586070520,Fri Sep 25 20:37:45 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
308120e3f3f329f7f81a8187f76b451a79c1b062,Fri Sep 25 23:02:02 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
7c369d7ffe971c90ac3b7bac16f835a357708865,Sun Sep 27 06:49:48 CEST 2009,C:\Users\ussze\AppData\Local\Temp\RD-3335858452384576824\RD-1054615089786308803-congress-android-clone0\src\com\sunlightlabs\entities\NameValuePair.java
