CommitHash,CommitMsg,CommitDate,CommitFileModifications,ModifiesJavaFile?
477241ded32ad630f4cc2cab7e483f32afd82032,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/ItemDetailFragment.java,ADD
477241ded32ad630f4cc2cab7e483f32afd82032,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/ItemListActivity.java,ADD
477241ded32ad630f4cc2cab7e483f32afd82032,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/ItemListFragment.java,ADD
477241ded32ad630f4cc2cab7e483f32afd82032,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/async/NoteTask.java,ADD
477241ded32ad630f4cc2cab7e483f32afd82032,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/utils/ConnectionManager.java,ADD
477241ded32ad630f4cc2cab7e483f32afd82032,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/utils/Constants.java,ADD
477241ded32ad630f4cc2cab7e483f32afd82032,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/utils/DateHelper.java,ADD
477241ded32ad630f4cc2cab7e483f32afd82032,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/utils/LoadingDialog.java,ADD
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,res/layout/activity_item_list.xml,MODIFY
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,res/layout/activity_item_twopane.xml,MODIFY
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,res/layout/fragment_item_detail.xml,MODIFY
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,res/menu/menu.xml,MODIFY
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/BaseFragmentActivity.java,ADD
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,ADD
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailFragment.java,ADD
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListActivity.java,RENAME
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,ADD
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/async/LoadNoteTask.java,RENAME
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/DummyContent.java,RENAME
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/Note.java,ADD
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/ConnectionManager.java,RENAME
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/Constants.java,ADD
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/DateHelper.java,RENAME
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/DbHelper.java,ADD
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/LoadingDialog.java,RENAME
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/ItemDetailActivity.java,DELETE
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/ItemDetailFragment.java,DELETE
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/ItemListFragment.java,DELETE
1edaa51bd0580d1bf713114d82a2e7b2bd029a5a,Federico Iosue,Federico Iosue,src/it/feio/android/sharednotes/utils/Constants.java,DELETE
7a547b348ee0333016963b2c99ba94308b82c711,Federico Iosue,Federico Iosue,res/drawable/note_selector.xml,ADD
7a547b348ee0333016963b2c99ba94308b82c711,Federico Iosue,Federico Iosue,res/layout/note_layout.xml,ADD
7a547b348ee0333016963b2c99ba94308b82c711,Federico Iosue,Federico Iosue,res/values/colors.xml,ADD
7a547b348ee0333016963b2c99ba94308b82c711,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
7a547b348ee0333016963b2c99ba94308b82c711,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
7a547b348ee0333016963b2c99ba94308b82c711,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/DummyContent.java,DELETE
7a547b348ee0333016963b2c99ba94308b82c711,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/NoteAdapter.java,ADD
49d6ce2a9f355f4103dfd34e0a2d21e1bd884274,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
