Class,LazyClass,ComplexClass,LongParameterList,FeatureEnvy,LongMethod,BlobClass,MessageChain,RefusedBequest,SpaghettiCode,SpeculativeGenerality,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC,OO,OA,Both
com.sunlightlabs.android.congress.notifications.subscribers.BillsActiveSubscriber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
com.sunlightlabs.android.congress.notifications.subscribers.BillsLawSubscriber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
com.sunlightlabs.android.congress.notifications.subscribers.BillsLegislatorSubscriber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
com.sunlightlabs.android.congress.notifications.subscribers.BillsRecentSubscriber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
com.sunlightlabs.android.congress.notifications.subscribers.BillsSearchSubscriber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
com.sunlightlabs.android.congress.notifications.subscribers.FloorUpdatesSubscriber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
com.sunlightlabs.android.congress.notifications.subscribers.RollsLegislatorSubscriber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
com.sunlightlabs.android.congress.notifications.subscribers.RollsRecentSubscriber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
com.sunlightlabs.android.congress.notifications.subscribers.VotesBillSubscriber,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
com.sunlightlabs.android.congress.notifications.Subscription,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
com.sunlightlabs.android.congress.NotificationSettings,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,4
com.sunlightlabs.android.congress.NotificationSubscriptions,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,3,4
com.sunlightlabs.android.congress.NotificationTabs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
com.sunlightlabs.android.congress.providers.SuggestionsProvider,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
com.sunlightlabs.android.congress.RollInfo,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,4,4,8
com.sunlightlabs.android.congress.Settings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
