CommitId;RefactoringType;RefactoringDetail,,,,,,,,,
"3e22aa429b9046834e4e3a0e72ebd0ccfb54b8db;Extract Method;Extract Method	public doCallOffice(direct boolean) : void extracted from public callOffice() : void in class com.sunlightlabs.android.congress.LegislatorPager",,,,,,,,,
"a5fd43c054156f7532e9b2d58fbcc9f0a1fdcba7;Extract And Move Method;Extract And Move Method	public setTitleIcon(activity Activity", drawable Drawable) : void extracted from public displayAvatar() : void in class com.sunlightlabs.android.congress.LegislatorPager & moved to class com.sunlightlabs.android.congress.utils.ActionBarUtils,,,,,,,,
"4331050b2f24ea3d338a8ff91aab630b58acc0c6;Move Attribute;Move Attribute	private avatar : Drawable from class com.sunlightlabs.android.congress.fragments.LegislatorProfileFragment to class com.sunlightlabs.android.congress.LegislatorPager",,,,,,,,,
"4331050b2f24ea3d338a8ff91aab630b58acc0c6;Move Method;Move Method	public loadPhoto() : void from class com.sunlightlabs.android.congress.fragments.LegislatorProfileFragment to public loadPhoto() : void from class com.sunlightlabs.android.congress.LegislatorPager",,,,,,,,,
"4331050b2f24ea3d338a8ff91aab630b58acc0c6;Move Method;Move Method	public onLoadPhoto(avatar Drawable", tag Object) : void from class com.sunlightlabs.android.congress.fragments.LegislatorProfileFragment to public onLoadPhoto(avatar Drawable, tag Object) : void from class com.sunlightlabs.android.congress.LegislatorPager,,,,,,,
"4331050b2f24ea3d338a8ff91aab630b58acc0c6;Move Method;Move Method	public displayAvatar() : void from class com.sunlightlabs.android.congress.fragments.LegislatorProfileFragment to public displayAvatar() : void from class com.sunlightlabs.android.congress.LegislatorPager",,,,,,,,,
"4331050b2f24ea3d338a8ff91aab630b58acc0c6;Move Method;Move Method	public visit(url String", social String) : void from class com.sunlightlabs.android.congress.fragments.LegislatorProfileFragment to public visit(url String, social String) : void from class com.sunlightlabs.android.congress.LegislatorPager,,,,,,,
"4331050b2f24ea3d338a8ff91aab630b58acc0c6;Move Method;Move Method	private socialButton(id int", url String, network String) : void from class com.sunlightlabs.android.congress.fragments.LegislatorProfileFragment to private socialButton(id int, url String, network String) : void from class com.sunlightlabs.android.congress.LegislatorPager,,,,,
"4331050b2f24ea3d338a8ff91aab630b58acc0c6;Move Method;Move Method	public partyName(code String) : String from class com.sunlightlabs.android.congress.fragments.LegislatorProfileFragment to public partyName(code String) : String from class com.sunlightlabs.android.congress.LegislatorPager",,,,,,,,,
"4331050b2f24ea3d338a8ff91aab630b58acc0c6;Move Method;Move Method	public officeName(office String) : String from class com.sunlightlabs.android.congress.fragments.LegislatorProfileFragment to public officeName(office String) : String from class com.sunlightlabs.android.congress.LegislatorPager",,,,,,,,,
"bf4def4937301c5045d4a76b53cc0bb3e322c466;Extract Method;Extract Method	public find(committee_id String", subcommittee_id String) : Committee extracted from public find(committee_id String) : Committee in class com.sunlightlabs.congress.services.CommitteeService,,,,,,,,
"bf4def4937301c5045d4a76b53cc0bb3e322c466;Extract And Move Method;Extract And Move Method	protected committeesFromArray(list JSONArray", subcommittee boolean) : List<Committee> extracted from protected fromAPI(json JSONObject) : Legislator in class com.sunlightlabs.congress.services.LegislatorService & moved to class com.sunlightlabs.congress.services.CommitteeService,,,,,,,,
"f010dc3796a000e8b628e11cb0ca4de1c355120e;Inline Method;Inline Method	public loadVotes() : void inlined to public displayRoll() : void in class com.sunlightlabs.android.congress.RollInfo",,,,,,,,,
"8cd3728463219604b1e86c25c44d786f0c95664e;Extract Method;Extract Method	public congressForYear(year int) : int extracted from public currentCongress() : int in class com.sunlightlabs.congress.models.Bill",,,,,,,,,
"8cd3728463219604b1e86c25c44d786f0c95664e;Rename Method;Rename Method	public latestVotes(bioguideId String", chamber String, page int, per_page int) : List<Roll> renamed to public latestMemberVotes(bioguideId String, chamber String, page int, per_page int) : List<Roll> in class com.sunlightlabs.congress.services.RollService,,,
"8cd3728463219604b1e86c25c44d786f0c95664e;Rename Method;Rename Method	protected voteFromAPI(voter_id String", json JSONObject) : Vote renamed to protected voteFromSunlightAPI(voter_id String, json JSONObject) : Vote in class com.sunlightlabs.congress.services.RollService,,,,,,,
"8cd3728463219604b1e86c25c44d786f0c95664e;Rename Method;Rename Method	protected voteFromAPI(voter_id String", vote_name String) : Vote renamed to protected voteFromSunlightAPI(voter_id String, vote_name String) : Vote in class com.sunlightlabs.congress.services.RollService,,,,,,,
"aaee91a6de9f064837c84857ea33f979d065a0f6;Move Attribute;Move Attribute	public timeFormat : SimpleDateFormat from class com.sunlightlabs.android.congress.utils.Utils to class com.sunlightlabs.congress.services.ProPublica",,,,,,,,,
"aaee91a6de9f064837c84857ea33f979d065a0f6;Move Attribute;Move Attribute	public timeFormat : SimpleDateFormat from class com.sunlightlabs.android.congress.utils.Utils to class com.sunlightlabs.congress.services.ProPublica",,,,,,,,,
"aaee91a6de9f064837c84857ea33f979d065a0f6;Move Attribute;Move Attribute	public timeFormat : SimpleDateFormat from class com.sunlightlabs.android.congress.utils.Utils to class com.sunlightlabs.congress.services.ProPublica",,,,,,,,,
