CommitId;RefactoringType;RefactoringDetail
6a64dd276372a04cd5d0bf2397da5f1c911117ae;Rename Method;Rename Method	public nextReminderFromRecurrenceRule() : void renamed to public nextReminderFromRecurrenceRule_3days() : void in class it.feio.android.omninotes.utils.date.RecurrenceHelperTest
6e18b2f224a2c4e16dbd71b49874609e38f07ff1;Pull Up Attribute;Pull Up Attribute	public permissionRule : GrantPermissionRule from class it.feio.android.omninotes.BaseEspressoTest to class it.feio.android.omninotes.BaseAndroidTestCase
0738367dd38da0ace9b267199843d8b4bdeccbbc;Move Source Folder;Move Source Folder	omniNotes/src/androidTest to omniNotes/src/test
3fc485d39633c5124823372bfbc8c292fe007338;Move Method;Move Method	public getFileProvider(file File) : Uri from class it.feio.android.omninotes.utils.StorageHelper to public getFileProvider(file File) : Uri from class it.feio.android.omninotes.utils.FileProviderHelper
b914572e1570678567db872b9c260745f2094671;Extract Method;Extract Method	private enableStrictMode() : void extracted from public onCreate() : void in class it.feio.android.omninotes.OmniNotes
dfb5b2b07f09b8b0b723041f48dfdcf47965bdc9;Extract Superclass;Extract Superclass	it.feio.android.omninotes.BaseUnitTest from classes [it.feio.android.omninotes.helpers.NotesHelperTest]
dfb5b2b07f09b8b0b723041f48dfdcf47965bdc9;Pull Up Method;Pull Up Method	private getNote(id Long, title String, content String) : Note from class it.feio.android.omninotes.helpers.NotesHelperTest to protected getNote(id Long, title String, content String) : Note from class it.feio.android.omninotes.BaseUnitTest
dfb5b2b07f09b8b0b723041f48dfdcf47965bdc9;Move Method;Move Method	private sanitizeTextForWordsAndCharsCount(note Note, field String) : String from class it.feio.android.omninotes.helpers.NotesHelper to package sanitizeTextForWordsAndCharsCount(note Note, field String) : String from class it.feio.android.omninotes.helpers.count.WordCounter
0ff5c4e49787b83af0c9ac9e9beb6c156e857543;Rename Method;Rename Method	protected onHandleIntent(intent Intent) : void renamed to protected onHandleWork(intent Intent) : void in class it.feio.android.omninotes.async.AlarmRestoreOnRebootService
2139c449fb207ecc0b6a78f3b76e9a39d7c2f08f;Move Method;Move Method	public getFileProvider(file File) : Uri from class it.feio.android.omninotes.utils.StorageHelper to public getFileProvider(file File) : Uri from class it.feio.android.omninotes.utils.FileProviderHelper
9a693cfadb97f9cf7d7a53e659d9489ca6c2fa0c;Move Class;Move Class	it.feio.android.omninotes.utils.NotificationsHelper moved to it.feio.android.omninotes.utils.notifications.NotificationsHelper
2096cd2d24497da9c7083fb95f4540b16deacfe3;Rename Class;Rename Class	it.feio.android.omninotes.helpers.GeoCodeProviderFactory renamed to it.feio.android.omninotes.helpers.GeocodeProviderFactory
2096cd2d24497da9c7083fb95f4540b16deacfe3;Rename Class;Rename Class	it.feio.android.omninotes.helpers.GeoCodeProviderFactory renamed to it.feio.android.omninotes.helpers.GeocodeProviderFactory
d2bee942a95943d07a779c479bc6d509fa50f68d;Move Method;Move Method	public onStart() : void from class it.feio.android.omninotes.ListFragment to protected onStart() : void from class it.feio.android.omninotes.PasswordActivity
d2bee942a95943d07a779c479bc6d509fa50f68d;Move Method;Move Method	public onStop() : void from class it.feio.android.omninotes.ListFragment to public onStop() : void from class it.feio.android.omninotes.PasswordActivity
26a4197aea9c4ea78d09243b5bbc92b6281403a2;Rename Method;Rename Method	public testGetCurrentAppVersion() : void renamed to public shouldGetCurrentAppVersion() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
26a4197aea9c4ea78d09243b5bbc92b6281403a2;Rename Method;Rename Method	public testIsAppUpdatedFalse() : void renamed to public shouldaVerifyAppUpdatedFalse() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
26a4197aea9c4ea78d09243b5bbc92b6281403a2;Rename Method;Rename Method	public testIsAppUpdatedTrue() : void renamed to public shouldVerifyAppUpdatedTrue() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
26a4197aea9c4ea78d09243b5bbc92b6281403a2;Rename Method;Rename Method	public testGetAppVersionFromPreferences() : void renamed to public shouldGetAppVersionFromPreferences() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
26a4197aea9c4ea78d09243b5bbc92b6281403a2;Rename Method;Rename Method	public testGetCurrentAppVersionName() : void renamed to public shouldGetCurrentAppVersionName() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
26a4197aea9c4ea78d09243b5bbc92b6281403a2;Rename Method;Rename Method	public testLegacyVersionManagementRetrieval() : void renamed to public shouldWorkLegacyVersionManagementRetrieval() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
26a4197aea9c4ea78d09243b5bbc92b6281403a2;Rename Method;Rename Method	public testLegacyVersionManagementUpdateCheck() : void renamed to public shouldWorkLegacyVersionManagementUpdateCheck() : void in class it.feio.android.omninotes.helpers.AppVersionHelperTest
