CommitId;RefactoringType;RefactoringDetail
9a2f048e1a3bff88885f50dc09aad0c462c460e5;Move Source Folder;Move Source Folder	app/src/main to app/src/play
d8e0146d3a0ee497cb9443ecaba8d515cda3af60;Rename Method;Rename Method	public shouldSyncAtAll(context Context) : boolean renamed to public isGTasksConfigured(context Context) : boolean in class com.nononsenseapps.helpers.SyncHelper
d8e0146d3a0ee497cb9443ecaba8d515cda3af60;Rename Method;Rename Method	private shouldSyncOnChange(context Context) : boolean renamed to private shouldSyncGTasksOnChange(context Context) : boolean in class com.nononsenseapps.helpers.SyncHelper
d8e0146d3a0ee497cb9443ecaba8d515cda3af60;Rename Method;Rename Method	private shouldSyncOnAppStart(context Context) : boolean renamed to private shouldSyncGTasksOnAppStart(context Context) : boolean in class com.nononsenseapps.helpers.SyncHelper
d8e0146d3a0ee497cb9443ecaba8d515cda3af60;Extract Method;Extract Method	private syncOthers(context Context) : void extracted from public requestSyncIf(context Context TYPE int) : void in class com.nononsenseapps.helpers.SyncHelper
cb766db035d355b4e6a0e852815f58e76a346df8;Extract Method;Extract Method	public syncAndAssertNothingChanged(taskCount int) : void extracted from public testNothingNew() : void in class com.nononsenseapps.notepad.test.OrgSyncTest
c25d36ffbb791f9c8379657f3b6a9529805eb6b6;Rename Method;Rename Method	public setTitleAsFilename(list TaskList file OrgFile) : void renamed to public getTitleAsFilename(list TaskList) : String in class com.nononsenseapps.notepad.sync.orgsync.OrgConverter
290f71aac7b65788d8c4e3b71d33bad0568b0fe1;Move Source Folder;Move Source Folder	test to full/test
635c395891b2eada6621400a19e9c43e866c3b67;Move Class;Move Class	com.nononsenseapps.notepad.sync.orgmode.OrgSyncService moved to com.nononsenseapps.notepad.sync.orgsync.OrgSyncService
3168de38ab87eaebc922faed912f40364e9331aa;Rename Method;Rename Method	private registerDBWatcher() : void renamed to private startDBWatcher() : void in class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService
3168de38ab87eaebc922faed912f40364e9331aa;Extract Method;Extract Method	private stopDBWatcher() : void extracted from public onDestroy() : void in class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService
3168de38ab87eaebc922faed912f40364e9331aa;Extract Method;Extract Method	private stopFileWatcher() : void extracted from public onStartCommand(intent Intent flags int startId int) : int in class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService
3168de38ab87eaebc922faed912f40364e9331aa;Extract Method;Extract Method	private stopFileWatcher() : void extracted from public onDestroy() : void in class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService
3168de38ab87eaebc922faed912f40364e9331aa;Extract Method;Extract Method	private startFileWatcher() : void extracted from public onStartCommand(intent Intent flags int startId int) : int in class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService
a7086e9ed8b2eee8c581fd8cc675415a6263bd35;Move Attribute;Move Attribute	private ACTION_READ : String from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService to class com.nononsenseapps.notepad.sync.orgmode.OrgSyncServiceOld
a7086e9ed8b2eee8c581fd8cc675415a6263bd35;Move Attribute;Move Attribute	private ACTION_WRITE : String from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService to class com.nononsenseapps.notepad.sync.orgmode.OrgSyncServiceOld
a7086e9ed8b2eee8c581fd8cc675415a6263bd35;Move Method;Move Method	public startRead(context Context) : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService to public startRead(context Context) : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncServiceOld
a7086e9ed8b2eee8c581fd8cc675415a6263bd35;Move Method;Move Method	public startWrite(context Context) : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService to public startWrite(context Context) : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncServiceOld
a7086e9ed8b2eee8c581fd8cc675415a6263bd35;Move Method;Move Method	protected onHandleIntent(intent Intent) : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService to protected onHandleIntent(intent Intent) : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncServiceOld
a7086e9ed8b2eee8c581fd8cc675415a6263bd35;Move Method;Move Method	private handleRead() : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService to private handleRead() : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncServiceOld
a7086e9ed8b2eee8c581fd8cc675415a6263bd35;Move Method;Move Method	private handleWrite() : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncService to private handleWrite() : void from class com.nononsenseapps.notepad.sync.orgmode.OrgSyncServiceOld
bda7b62b9620e0b7e106c6f660ee2da09c37b322;Rename Method;Rename Method	public onDialogTimeSet(hourOfDay int minute int) : void renamed to public onDateSet(dialog DatePickerDialog year int monthOfYear int dayOfMonth int) : void in class com.nononsenseapps.notepad.fragments.TaskDetailFragment
91bb6dd814952ab4e88ca7974565247be1e33e5b;Move Source Folder;Move Source Folder	Utils to lib
181e6e4a5565b6511b8864598c5b755a352f3b0e;Move Source Folder;Move Source Folder	NoNonsenseNotes to core
181e6e4a5565b6511b8864598c5b755a352f3b0e;Move Source Folder;Move Source Folder	NoNonsenseNotesTest to test
eb5c0a54e8ffaf3dddb24088a9657ed61ca7a005;Extract Method;Extract Method	private handleSyncRequest() : void extracted from public onOptionsItemSelected(item MenuItem) : boolean in class com.nononsenseapps.notepad.ActivityMain
3b4d9d94bda3c63120535ee978900a813e8071d3;Extract Method;Extract Method	public setTitleFontFamily(family int) : void extracted from public TitleNoteTextView(context Context attrs AttributeSet) in class com.nononsenseapps.utils.views.TitleNoteTextView
3b4d9d94bda3c63120535ee978900a813e8071d3;Extract Method;Extract Method	public setTitleFontStyle(style int) : void extracted from public TitleNoteTextView(context Context attrs AttributeSet) in class com.nononsenseapps.utils.views.TitleNoteTextView
af669980ff304671d70858651618d92d655004f5;Extract Method;Extract Method	public setTitleFontFamily(family int) : void extracted from public StyledEditText(context Context attrs AttributeSet) in class com.nononsenseapps.utils.views.StyledEditText
af669980ff304671d70858651618d92d655004f5;Extract Method;Extract Method	public setTitleFontStyle(style int) : void extracted from public StyledEditText(context Context attrs AttributeSet) in class com.nononsenseapps.utils.views.StyledEditText
5b723c41572a9a2f314642d455ade3947c8c9d43;Move Class;Move Class	com.nononsenseapps.notepad.widget.ListRemoteViewsFactory moved to com.nononsenseapps.notepad.widget.ListWidgetService.ListRemoteViewsFactory
0dc7b725e1ae9686472405da9b6240eaa7c0f906;Extract Method;Extract Method	package moveMap(point LatLng) : void extracted from protected setupMap() : void in class com.nononsenseapps.notepad.ActivityLocation
bf70c23327cc8f43a4ef2bff1240fc574fea7eb9;Rename Method;Rename Method	public getAList(context Context tempList long defaultlistkey String) : long renamed to public getAShowList(context Context tempList long) : long in class com.nononsenseapps.notepad.fragments.TaskListViewPagerFragment
bf70c23327cc8f43a4ef2bff1240fc574fea7eb9;Extract Method;Extract Method	public getARealList(context Context tempList long) : long extracted from public getAList(context Context tempList long defaultlistkey String) : long in class com.nononsenseapps.notepad.fragments.TaskListViewPagerFragment
fc92307a74e2cbc1e4bd88e214a05bfc3eddb3f6;Extract Method;Extract Method	protected setExtraText(viewHolder ViewHolder position int) : void extracted from public getView(position int convertView View parent ViewGroup) : View in class com.nononsenseapps.ui.ExtrasCursorAdapter
fc92307a74e2cbc1e4bd88e214a05bfc3eddb3f6;Extract Method;Extract Method	protected setExtraText(viewHolder ViewHolder position int) : void extracted from public getDropDownView(position int convertView View parent ViewGroup) : View in class com.nononsenseapps.ui.ExtrasCursorAdapter
0013b649c817c966282f75bbb5777ac7e8c109ae;Extract Method;Extract Method	package loadFragments() : void extracted from protected loadContent() : void in class com.nononsenseapps.notepad.ActivityMain
c82432c862254f1a6d8f80957a7bad292c4db2cb;Extract Method;Extract Method	package setDoneActionBar() : void extracted from protected loadContent() : void in class com.nononsenseapps.notepad.ActivityMain
2736381624d73666655c8e7d7ac68b2c589841eb;Extract Method;Extract Method	private insert(context Context) : int extracted from public save(context Context) : int in class com.nononsenseapps.notepad.database.Notification
e7405b2989b349f4279cda27197334957181901e;Extract Method;Extract Method	package cancelNotification(context Context notId int) : void extracted from package cancelNotification(context Context uri Uri) : void in class com.nononsenseapps.helpers.NotificationHelper
e7405b2989b349f4279cda27197334957181901e;Rename Method;Rename Method	public onActivityResult(requestCode int resultCode int data Intent) : void renamed to public onLocationResult(resultCode int data Intent) : void in class com.nononsenseapps.notepad.fragments.TaskDetailFragment
671c9707e73f876ea5c9287a96093febd1d83b98;Extract Method;Extract Method	private simulateBack() : void extracted from public closeFragment(fragment Fragment) : void in class com.nononsenseapps.notepad.ActivityMain
ae064356de1d825132842cf769f01ad1c46c7ded;Extract Method;Extract Method	public openList(id long) : void extracted from public onFinishEditDialog(id long) : void in class com.nononsenseapps.notepad.fragments.TaskListViewPagerFragment
b072a525b48670238f4ec14fbcf2f0f38a689b27;Move Attribute;Move Attribute	public LATITUDE : String from class com.nononsenseapps.notepad.ActivityLocation to class com.nononsenseapps.notepad.database.Notification.Columns
b072a525b48670238f4ec14fbcf2f0f38a689b27;Move Attribute;Move Attribute	public LONGITUDE : String from class com.nononsenseapps.notepad.ActivityLocation to class com.nononsenseapps.notepad.database.Notification.Columns
b072a525b48670238f4ec14fbcf2f0f38a689b27;Move Attribute;Move Attribute	public RADIUS : String from class com.nononsenseapps.notepad.ActivityLocation to class com.nononsenseapps.notepad.database.Notification.Columns
b072a525b48670238f4ec14fbcf2f0f38a689b27;Move Attribute;Move Attribute	public LATITUDE : String from class com.nononsenseapps.notepad.ActivityLocation to class com.nononsenseapps.notepad.database.Notification.Columns
b072a525b48670238f4ec14fbcf2f0f38a689b27;Move Attribute;Move Attribute	public LONGITUDE : String from class com.nononsenseapps.notepad.ActivityLocation to class com.nononsenseapps.notepad.database.Notification.Columns
b072a525b48670238f4ec14fbcf2f0f38a689b27;Move Attribute;Move Attribute	public RADIUS : String from class com.nononsenseapps.notepad.ActivityLocation to class com.nononsenseapps.notepad.database.Notification.Columns
b072a525b48670238f4ec14fbcf2f0f38a689b27;Move Attribute;Move Attribute	public LATITUDE : String from class com.nononsenseapps.notepad.ActivityLocation to class com.nononsenseapps.notepad.database.Notification.Columns
b072a525b48670238f4ec14fbcf2f0f38a689b27;Move Attribute;Move Attribute	public LONGITUDE : String from class com.nononsenseapps.notepad.ActivityLocation to class com.nononsenseapps.notepad.database.Notification.Columns
