CommitId;RefactoringType;RefactoringDetail
f85befd98284663bf58cf9eb42238e2f0f4b2459;Extract Method;Extract Method	public nfcVerifyPIN(mode int) : void extracted from public nfcDecryptSessionKey(encryptedSessionKey byte[]) : byte[] in class org.sufficientlysecure.keychain.ui.base.BaseNfcActivity
d097131a3dcdf806608f43e49e0be96cf34f5c64;Rename Method;Rename Method	private isEditTextNotEmpty(context Context, editText EditText) : boolean renamed to private isMainEmailValid(editText EditText) : boolean in class org.sufficientlysecure.keychain.ui.CreateKeyEmailFragment
702a77ccd1357dce5bd212b9761bec5044ec1280;Move Attribute;Move Attribute	private NULL_UUID : UUID from class org.sufficientlysecure.keychain.operations.results.OperationResult to class org.sufficientlysecure.keychain.util.ParcelableCache
13332bc28dd0d85c28c9f66b2d871aac68293db0;Extract Method;Extract Method	public loadPhotoByContactId(contentResolver ContentResolver, contactId long, highRes boolean) : Bitmap extracted from public loadPhotoByMasterKeyId(contentResolver ContentResolver, masterKeyId long, highRes boolean) : Bitmap in class org.sufficientlysecure.keychain.util.ContactHelper
ad69622b6983d139e2cef1380f502edef19d2180;Rename Method;Rename Method	public createRequiredPassphrase(masterKeyId long, subKeyId long, signatureTime Date) : RequiredInputParcel renamed to public createRequiredSignPassphrase(masterKeyId long, subKeyId long, signatureTime Date) : RequiredInputParcel in class org.sufficientlysecure.keychain.service.input.RequiredInputParcel
cc44ff1a8b3b51331023ef738ccd28bece32da40;Inline Method;Inline Method	private decryptStart() : void inlined to public onCreate(savedInstanceState Bundle) : void in class org.sufficientlysecure.keychain.ui.DecryptTextFragment
39b131c7e58c358adf93bb64fe297884664a4ae1;Rename Method;Rename Method	public setPassphrase(passphrase Passphrase) : void renamed to public setSymmetricPassphrase(passphrase Passphrase) : void in class org.sufficientlysecure.keychain.ui.EncryptTextFragment
39b131c7e58c358adf93bb64fe297884664a4ae1;Inline Method;Inline Method	public startEncrypt() : void inlined to public startEncrypt(share boolean) : void in class org.sufficientlysecure.keychain.ui.EncryptTextFragment
a3276a448528cee3ed392bf01e36835bbe8246ee;Rename Method;Rename Method	public handleClipData(data Intent) : boolean renamed to public addFile(data Intent) : void in class org.sufficientlysecure.keychain.ui.EncryptFilesFragment
dcaac4f85f07efff2fdfd8a2eec9ba8ee758659c;Extract Superclass;Extract Superclass	org.sufficientlysecure.keychain.ui.adapter.KeyAdapter from classes [org.sufficientlysecure.keychain.ui.KeyListFragment.KeyListAdapter]
dcaac4f85f07efff2fdfd8a2eec9ba8ee758659c;Move Attribute;Move Attribute	public PROJECTION : String[] from class org.sufficientlysecure.keychain.ui.KeyListFragment to class org.sufficientlysecure.keychain.ui.adapter.KeyAdapter
dcaac4f85f07efff2fdfd8a2eec9ba8ee758659c;Move Attribute;Move Attribute	public INDEX_MASTER_KEY_ID : int from class org.sufficientlysecure.keychain.ui.KeyListFragment to class org.sufficientlysecure.keychain.ui.adapter.KeyAdapter
dcaac4f85f07efff2fdfd8a2eec9ba8ee758659c;Move Attribute;Move Attribute	public INDEX_USER_ID : int from class org.sufficientlysecure.keychain.ui.KeyListFragment to class org.sufficientlysecure.keychain.ui.adapter.KeyAdapter
dcaac4f85f07efff2fdfd8a2eec9ba8ee758659c;Move Attribute;Move Attribute	public INDEX_IS_REVOKED : int from class org.sufficientlysecure.keychain.ui.KeyListFragment to class org.sufficientlysecure.keychain.ui.adapter.KeyAdapter
